CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
BURG - AUTO,08/23/2014 08:30:00 AM,14-042834,BURGLARY-AUTO,30Y,2500 CHURCH ST,Oakland,CA,"2500 CHURCH ST
Oakland, CA
(37.768164699000465, -122.17931306199972)"
DOMESTIC VIOLENCE,08/23/2014 08:00:00 PM,14-042835,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,7400 BLOCK OF SAN LEANDRO ST,Oakland,CA,"7400 BLOCK OF SAN LEANDRO ST
Oakland, CA
(37.80508210800048, -122.27306651899971)"
STOLEN VEHICLE,08/23/2014 07:30:00 AM,14-042838,VEHICLE THEFT - AUTO,33X,1300 82ND,Oakland,CA,"1300 82ND
Oakland, CA
(37.75469401300046, -122.1805128629997)"
DOMESTIC VIOLENCE,08/23/2014 10:09:00 PM,14-042853,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,2000 57TH AVE,Oakland,CA,"2000 57TH AVE
Oakland, CA
(37.7692527050005, -122.19707902199968)"
DOMESTIC VIOLENCE,08/24/2014 09:38:00 PM,14-042854,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,2100 90TH AV,Oakland,CA,"2100 90TH AV
Oakland, CA
(37.753124365000474, -122.16667433699968)"
STOLEN VEHICLE,08/24/2014 01:30:00 PM,14-042953,VEHICLE THEFT - AUTO,32X,10500 INTERNATIONAL BLVD,Oakland,CA,"10500 INTERNATIONAL BLVD
Oakland, CA
(37.739057594000485, -122.16655216099969)"
PETTY THEFT,08/23/2014 08:00:00 PM,14-042928,THEFT,03X,1200 WEBSTER ST,Oakland,CA,"1200 WEBSTER ST
Oakland, CA
(37.80206914900049, -122.26956762599968)"
VANDALISM,08/22/2014 10:00:00 PM,14-042932,VANDALISM (AMENDED),17Y,2200 11TH AV,Oakland,CA,"2200 11TH AV
Oakland, CA
(37.79665055400045, -122.24134056099967)"
STOLEN VEHICLE,08/24/2014 04:52:00 AM,14-042934,VEHICLE THEFT - AUTO,27X,5000 MELROSE AV,Oakland,CA,"5000 MELROSE AV
Oakland, CA
(37.77404663100049, -122.20506718099972)"
STOLEN VEHICLE,08/22/2014 09:00:00 PM,14-042760,VEHICLE THEFT - AUTO,16Y,1300 EXCELSIOR AV,Oakland,CA,"1300 EXCELSIOR AV
Oakland, CA
(37.80326867100047, -122.23010686799972)"
PETTY THEFT,08/20/2014 08:45:00 PM,14-042776,THEFT:PERSONAL PROPERTY,26Y,7500 INTERNATIONAL BLVD,Oakland,CA,"7500 INTERNATIONAL BLVD
Oakland, CA
(37.75844905300045, -122.18544252899972)"
STOLEN VEHICLE,08/22/2014 06:00:00 PM,14-042796,VEHICLE THEFT - AUTO,23X,1600 HIGH ST,Oakland,CA,"1600 HIGH ST
Oakland, CA
(37.773421415000485, -122.2133695169997)"
MISDEMEANOR ASSAULT,08/23/2014 11:30:00 AM,14-042811,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,26Y,1100 72ND AV,Oakland,CA,"1100 72ND AV
Oakland, CA
(37.75747566600046, -122.19113378899971)"
DRUNKENNESS,08/23/2014 07:00:00 PM,14-042821,DISORDERLY CONDUCT:TOLUENE,15X,400 VAN DYKE AV,Oakland,CA,"400 VAN DYKE AV
Oakland, CA
(37.80171396300045, -122.24533153899972)"
BURG - AUTO,08/23/2014 05:45:00 PM,14-042828,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.73782612000048, -122.19925472599971)"
DUI,08/24/2014 12:33:00 AM,14-042832,DUI ALCOHOL/DRUGS,20X,2900 INTERNATIONAL BLVD,Oakland,CA,"2900 INTERNATIONAL BLVD
Oakland, CA
(37.77917543700045, -122.22882492799971)"
DISORDERLY CONDUCT,08/22/2014 12:00:00 PM,14-042741,DISTURB THE PEACE,30X,7300 KRAUSE AV,Oakland,CA,"7300 KRAUSE AV
Oakland, CA
(37.764757115000464, -122.17827217399969)"
STOLEN VEHICLE,08/22/2014 10:00:00 PM,14-042757,VEHICLE THEFT - AUTO,20X,1200 26TH AV,Oakland,CA,"1200 26TH AV
Oakland, CA
(37.78061755800047, -122.23330133199971)"
MISDEMEANOR ASSAULT,08/23/2014 07:17:00 AM,14-042720,ASSAULT WITH CAUSTIC CHEMICAL/ETC,12Y,5300 TELEGRAPH AV,Oakland,CA,"5300 TELEGRAPH AV
Oakland, CA
(37.83875646700045, -122.26206935899972)"
